1, 1
-1, -1

2, 0
0, 2

0, -2
-2, 0

3, 1
1, -1

1, 3
-1, 1

1, -1
-1, -3

-1, 1
-3, -1

4, 0
2, 2

2, 2
0, 4

0, -4
-2, -2

-2, -2
-4, 0

5, 1
3, -1

1, 5
-1, 3

1, -3
-1, -5

-3, 1
-5, -1

6, 0
4, 2

4, -2
2, 0

2, 4
0, 6

0, 2
-2, 4

2, -4
0, -2

0, -6
-2, -4

-2, 0
-4, 2

-4, -2
-6, 0

7, 1
5, -1

5, 3
3, 1

5, -1
3, -3

3, 5
1, 3

1, 7
-1, 5

-1, 5
-3, 3

3, -3
1, -5

1, -5
-1, -7

-1, -3
-3, -5

-3, 3
-5, 1

-3, -1
-5, -3

-5, 1
-7, -1

8, 0
6, 2

6, 2
4, 4

4, 4
2, 6

2, 6
0, 8

0, -8
-2, -6

-2, -6
-4, -4

-4, -4
-6, -2

-6, -2
-8, 0

9, 1
7, -1

1, 9
-1, 7

1, -7
-1, -9

-7, 1
-9, -1

10, 0
8, 2

8, -2
6, 0

2, 8
0, 10

0, 6
-2, 8

2, -8
0, -6

0, -10
-2, -8

-6, 0
-8, 2

-8, -2
-10, 0

11, 1
9, -1

9, 3
7, 1

9, -1
7, -3

3, 9
1, 7

1, 11
-1, 9

-1, 9
-3, 7

3, -7
1, -9

1, -9
-1, -11

-1, -7
-3, -9

-7, 3
-9, 1

-7, -1
-9, -3

-9, 1
-11, -1

12, 0
10, 2

10, 2
8, 4

8, -4
6, -2

4, 8
2, 10

2, 10
0, 12

-2, 6
-4, 8

4, -8
2, -6

0, -12
-2, -10

-2, -10
-4, -8

-6, 2
-8, 4

-8, -4
-10, -2

-10, -2
-12, 0

13, 1
11, -1

9, 5
7, 3

9, -3
7, -5

7, -1
5, -3

5, 9
3, 7

1, 13
-1, 11

-1, 7
-3, 5

-3, 9
-5, 7

5, -7
3, -9

3, -5
1, -7

1, -11
-1, -13

-3, -7
-5, -9

-5, 3
-7, 1

-7, 5
-9, 3

-7, -3
-9, -5

-11, 1
-13, -1

14, 0
12, 2

12, -2
10, 0

10, 4
8, 6

8, 2
6, 4

10, -4
8, -2

8, -6
6, -4

6, -4
4, -2

6, 8
4, 10

4, 6
2, 8

2, 12
0, 14

0, 10
-2, 12

-2, 4
-4, 6

-2, 8
-4, 10

-4, 6
-6, 8

6, -8
4, -6

4, -10
2, -8

4, -6
2, -4

2, -12
0, -10

0, -14
-2, -12

-2, -8
-4, -6

-4, -10
-6, -8

-4, 2
-6, 4

-6, 4
-8, 6

-8, 2
-10, 4

-6, -4
-8, -2

-8, -6
-10, -4

-10, 0
-12, 2

-12, -2
-14, 0

15, 1
13, -1

13, 3
11, 1

13, -1
11, -3

11, 5
9, 3

9, 7
7, 5

7, 5
5, 3

11, -3
9, -5

9, -5
7, -7

7, 9
5, 7

5, 11
3, 9

5, 7
3, 5

3, 13
